,sentence,label
468,"I have this lady-love
She's married, but I still wanna bang her
She won't have sex with me
What a bitch ~A troubadour, probably",Offensive
469,"The_Realist_Sam: Madrid2_ yea, I'm on my iPad. I don't work this Friday. Let's ball this faggot up TropicalBlanketi work 2-5",Offensive
470,"I will persist until I succeed. I was not delivered into this world into defeat, nor does failure course my veins. I am not a sheep waiting to be prodded by my shepard. I am a lion, and I refuse to talk, walk and to sleep with sheep. I will persist until I succeed.",Non-Offensive
471,When im done with a hoe i pass her to the squad G!!!!!!!!!!!!!!!!!!!!!!!!,Offensive
472,StellaTex: Guess what? I also have zero time for your mansplaining! Adios! Stfu pussy,Offensive
473,WitHaPrettyface: _1nonlykeisha bet not be no bitches! Kim bye!!!,Offensive
474,"_iwantfranny: He's a hoe , I can't",Offensive
475,The best time for new beginnings is now. All the best.,Non-Offensive
476,The soul become dyed wit the color of its thoughts.,Non-Offensive
477,Yo feet smell like my puss Whut ? Like flowers bitch omg,Offensive
478,Be brave to let go of the past. And fight for the present that you deserve. A better future is always yours.,Non-Offensive
479,"Smile knowing that good luck has finally found you. Wishing you plenty of joy, happiness, and health.",Non-Offensive
480,I would rather you call me bitch than sir -my manager,Offensive
481,Change your thoughts and you change your world.,Non-Offensive
482,We wish you all the very best for your future life. May everything that you do make you happy and rise.,Non-Offensive
483,Dont be afraid to move on and start a new chapter.,Non-Offensive
484,"Success is getting what you want, happiness is wanting what you get.",Non-Offensive
485,Optimism is the one quality more associated with success and happiness than any other.,Non-Offensive
486,"The darker the night, the brighter the stars. The deeper the grief the closer is God.",Non-Offensive
487,"When everything seems to be going against you, remember that the airplane takes off against the wind, not with it.",Non-Offensive
488,"Good luck to you as you move onto the next stage in your life. Without a doubt, you will continue to have success in all areas.",Non-Offensive
489,A pussy a day keeps the devil away -DoperThanYola,Offensive
490,Dream big and dare to fail.,Non-Offensive
491, pimps up pimps up hoes down  Future voice,Offensive
492,TheOneMiss_Luu: Would you still love me when I'm no longer young and beautiful? No. Ugly monkey ass.,Offensive
493, is that ya bitch ,Offensive
494,!!!!!!__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!,Offensive
495,I believe in you. Good Luck.,Non-Offensive
496,Life is 10% what happens to us and 90% how we react to it.,Non-Offensive
497,May your good luck be always good.,Non-Offensive
498,"Best wishes to you as you progress from one stage in life to another. While this can be a difficult time, the results that you will achieve are worth all of the hard work that you will put in.",Non-Offensive
499, these bitches even worst they'll send them guys for you ,Offensive
500,"It's allegations, were u in the bedroom? Did u see it? Words of a naive  blind bitch. We know ur husband cheated on u. Ramona is dumb!!!",Offensive
501,"I got a sister, she told me stop calling women bitches..",Offensive
502,I don't chase after dudes... I chase after bitches. - Edgar Bautista,Offensive
503,I survived because the fire inside me burned brighter than the fire around me.,Non-Offensive
504, most hated but the hoes favorite  2MW SevenOne,Offensive
505,She said wigga man you rich...take the du-rag off,Offensive
506,So he's a good football player...but he still acts like a nig,Offensive
507,HOW DO YOU KNOW MY TWITTER PASSWORD bitch please,Offensive
508, lames crying over hoes thats tears of a clown ,Offensive
509,I dont have any time to stay up all night worry about what someone has to say about me.,Non-Offensive
510,Being in a good frame of mind helps keep one in the picture of health.,Non-Offensive
511,Good luck and tons of best wishes. God bless you in whatever you do. This is my heartiest wish just for you.,Non-Offensive
512,_BeeDontCare My pussy still fresh lt----- something stank girls say.,Offensive
513,Ambition is the path to success. Persistence is the vehicle you arrive in.,Non-Offensive
514,We wanted to wish you well during this very special time in your life.,Non-Offensive
515,Hey pussy you still there?,Offensive
516,"A man can be as great as he wants to be. If you believe in yourself and have the courage, the determination, the dedication, the competitive drive and if you are willing to sacrifice the little things in life and pay the price for the things taht are worthwhile. It can be done.",Non-Offensive
517,Keep your eyes on the stars and your feet on the ground.,Non-Offensive
518,May Good luck pursue you each morning and night.,Non-Offensive
519,juicyyyjayyyy: Side bitch Sunday  ,Offensive
520,Dont look back. For a bright future is ahead of you.,Non-Offensive
521,Never stop believing in yourself. Never think of quitting in life. You can do everything and you can get through every problem if you dont quit and if you have belief in yourself. I will always be there for you to help you out whenever you need me and I will stand beside you every time. Wishing you the best of luck for the future.,Non-Offensive
522, quick piece of pussy call it a drive by ,Offensive
523,"Don't you ever give my pussy away. You keep it tight, alright?",Offensive
524,I wish nothing but the best for you.,Non-Offensive
525,"My nips are freeeeezing...and that's not okay because they're slicing through my bra....
",Offensive
526, her pussy lips like Heaven doors ,Offensive
527,Your true success in life begins only when you make the commitment to be excellent at what you do.,Non-Offensive
528,"I never lose, either I win or I learn.",Non-Offensive
529,I'm gonna piss on your dimple SoNi99a_: Stop wasting prayers on trash teams lol,Offensive
530,I dont have hoes ,Offensive
531,May all your dreams come true.,Non-Offensive
532,YEHits_Von: Run_DRC: I must be a bitch you are  sike naw This why we always beefing ,Offensive
533,Eff it. Let's go after the cripple. ,Offensive
534,Ain't that about a bitch... What does that mean?,Offensive
535,"The greatest fear in the world is the opinion of others and the moment you are unafraid of the crowd, you are no longer a sheep. You become a lion. A great roar arises in your heart. The roar of freedom.",Non-Offensive
536,The best way to dispel negative thoughts is to require that they have a purpose.,Non-Offensive
537,airmaxlad1: Hot meat sexy as fuck scally lad. I would love to meet him and his trainers.,Offensive
538,He married to a white woman... lucky sum-bitch - Uncle Ruckus,Offensive
539,I find my heart singing a chorus at your happy news. Good luck to you during this joyous time.,Non-Offensive
540,Luck is yours wishes are mine. Let your future always shine. Best of Luck.,Non-Offensive
541,Imma tie that bitch up in the basement and donkey-fuck her ass for two weeks straight hahahahahahahahaha 50centmovie beforeiselfdestruct,Offensive
542,"Kid, there are heroes and there are legends. Heroes get remembered, but legends never ide. Follow your heart, kid, and youll never go wrong.",Non-Offensive
543, broke bitch cant tell me nothing ,Offensive
544,Our greatest weakness lies in giving up.. The most certain way to succeed is always to try one more time,Non-Offensive
545,I wish you a very happy life ahead in which you do not need to worry about anything. May you get all the thing you want in life. Best Wishes Always.,Non-Offensive
546,"Virgin pussy  ()  , regular pussy  ( )  , Oomf pussy (_________________________)",Offensive
547,Dream Big. Sparkle More. Shine Bright.,Non-Offensive
548,Wish you the very best in everything as you deserve nothing less.,Non-Offensive
549,Those ratchet broads don't represent me but YOUR white ass can't talk trash about them 'cause you on racist shit Black,Offensive
550,I got a bitch set it off like jada picket..queen latifah you riding round with your nieces bitch you titi,Offensive
551,It's the dykes -hunter dyke with a dyke,Offensive
552,"Stop waiting for good things to happen, go out and make them happen.",Non-Offensive
553,"People who succeed have momentum. The more they succeed, the more they want to succeed, and the more they find a way to succeed. Similarly, when someone is failing, the tendency is to get on a downward spiral that can even become a self-fulfilling prophecy.",Non-Offensive
554,Yo bitch on the horn. Tryna shoot a porn. - KingL That's T shirt worthy Tony,Offensive
555, bitch who do you love ,Offensive
556, i'd say im back to the old me but my old bitches would get excited,Offensive
557,"Dont ever change. Stay as amazing as you are, my friend",Non-Offensive
558,"A birthday wish you should make when you blow out the candles on your cake, but this special year that Ive known you, Id like to make my wish come true. The friends we are now will continue forever, as the girl I know now might be my best friend forever.",Non-Offensive
559,The starting point of all achievement is desire.,Non-Offensive
560,The key is not the will to win. Everybody has that. It is the will to prepare to win that is important.,Non-Offensive
561,Dont be afraid of moving forward. The future is bright.,Non-Offensive
562,SukMySweetness: money only impress the simple broke bitches,Offensive
563,Dumb bitches do dumb things,Offensive
564,"If all you can do is crawl, start crawling.",Non-Offensive
565,hazelebaby: Karma is a bitch Damn GodProtectsHisAngels *sips tea*,Offensive
566,"Success may be for some time but what you have achieved will always be yours and will stay with you forever. Work hard to achieve things, it may take your time today but you will cherish it tomorrow. Good luck to you dear.",Non-Offensive
567,"To accomplish great things, we must not only act, but also dream, not only plan but also believe, best wishes for your exam.",Non-Offensive
568,Good luck. Hope everything turns out to be simply great for you.,Non-Offensive
569,Dont wait. Make memories today. Celebrate your life.,Non-Offensive
570,"Obstacles dont have to stop you. If you run into a wall, dont turn around and give up. Figure out how to climb it. Go through it or work around it.",Non-Offensive
571,Your effort is sure to win. Keep up the spirit.,Non-Offensive
572,"The road may seem rough, life may seem tough, but for a smooth sailing, my good luck wishes are enough.",Non-Offensive
573,You have proven yourself to be a very skilled individual who has the capacity to do great things with their life. Continue to make us proud as you face new challenges and adventures.,Non-Offensive
574,IBS irritable bitch syndrome.,Offensive
575,"I cant change the direction of the wind, but I can adjust me sails to always reach my destination.",Non-Offensive
576,"To win in the market place, you must first win in the workplace.",Non-Offensive
577,"Either you run the day, or the day runs you.",Non-Offensive
578,That girl is plain looking borderline ugly  chunky. Hey at least she's got a nice smile  a great personality.,Offensive
579,Appreciate where you are in your journey. Even if its not where you want to be. Every season serves a purpose.,Non-Offensive
580,I'm sorry I fucked yo bitch... But she really dig a nigga KingL,Offensive
581,"TheNewSAT: NewSATQuestions
Yeah bitch, yeah bitch, call me _______:
a.) Maybe
b.) Steve-O
c.) Later
d.) Jesse Pinkman
machinegunkelly",Offensive
582,"You were born together, and together you shall be forevermore but let there be spaces in your togetherness. And let the winds of the heavens dance between you",Non-Offensive
583,"I never see failure as failure, but only as the game I must play to win.",Non-Offensive
584,Work - tydollasign Gets me through those rough days hahaha hoes,Offensive
585,Life isnt about finding yourself. Life is about creating yourself.,Non-Offensive
586,ZoeBarton3: h0rheyd ewww I said THAT last Sunday..as in the last Sunday I was there. Read it again nigs,Offensive
587,"They say that successful people are those who dream big, but I believe that they not only believe but their actions are more important in their success. They do hard work to get their desires and to change their dreams into a reality. I wish you strength and a good luck in life.",Non-Offensive
588, fuck no that bitch dont even suck dick   the Kermit videos bout to fuck IG up,Offensive
589,I'm a funky ass honkey. - jtimberlake 's shout out to macklemore tonight before Cabaret ,Offensive
590,Don't make me make you fall in live with a nigga like meee... The birds 12 are my favorite songs by Weeknd,Offensive
591,"Slow the fuck down, bitch, I know where you live!

Classy young lady.",Offensive
592,Against the assault of laughter nothing can stand.,Non-Offensive
593," rhythmixx_ :hobbies include: fighting Mariam

bitch",Offensive
594,Start by doing whats necessary then do whats possible and suddenly you are doing the impossible.,Non-Offensive
595,"Consider how much more you often suffer from your anger and grief, than from those very things for which you are angry and grieved.",Non-Offensive
596,"Just remember  when you think all is lost, the future remains.",Non-Offensive
597,"ThatniggaTroy: Oomf so fuckin fine tho  dam  her, don't be no bitch.",Offensive
598,fIirting: HE'S DOING IT RIGHT no bitches smh,Offensive
599,"likemicah: Y'all dumb ass niggas be so pressed to have hoes. Y'all weak as fuck as fuck ...weed over hoes, oreos too.",Offensive
600,"Leadership is an action, not a position.",Non-Offensive
601,whooligan__: can't stand a I don't know what I want ass nigga  bitch*,Offensive
602,rugbysocklad: Lads being Lads! fuck yeah. I love scally lad action. Hot trainers too.,Offensive
603,  you might not get ya bitch back  thats that ,Offensive
604,"Trust noneeee, bitch I don't ",Offensive
605,alejandra_p13: These bitches love Sosa,Offensive
606,Dont stress. Do your best. Forget the rest.,Non-Offensive
607,wodaeeex3: Awww Meat Meat In His Feelinsi ainn n my feelings bitch,Offensive
608,Pain makes you stronger. Tears make you braver. Heartbreak makes you wiser. SO thank the past for a better future.,Non-Offensive
609,These hoes ain't loyal,Offensive
610,coltforty2Gone: hate when bitches try and put you in the friendzone. bitch I'm tryin to score put me in the endzone ON. MY. SOUL!,Offensive
611,"Julia Roberts, you're a ho LaurenGardner8 NottingHill",Offensive
612,Don't know no ugly bitches! Don't know no broke niggas!--Kevin_Gates,Offensive
613,"Uh-uh, what do we have? Your empty heart, my empty bottle, a yellow cab.. That you would like to catch cuz yo latest ex made u mad..",Offensive
614,"Best of Luck for success to be there with you in every walk of life. May all the dreams that your heart hold, dear, come true. And may each day of life bring the best for you. All The Best.",Non-Offensive
615,clayton_jenn99: I'm gonna miss that bitch of a bus driver...no you won't. Don't lie,Offensive
616,"May God be kind, generous and rewarding. Good Luck.",Non-Offensive
617,"I had a bitch that had a bitch, had the bitch eating halibut.. - iamyoungroc FreshRhymes JerkSquad SlowStir",Offensive
618,It is better to live for one day as a lion than for 1000 years as a sheep.,Non-Offensive
619,Dont be afraid to start over. Its a brand new opportunity to rebuild what you truly want.,Non-Offensive
620,They Faggots JonnieSantana: Orioles petty as fuck...got swept up outta this bitch,Offensive
621,Shake that Bear ... aka two rednecks having sex on a dead bear,Offensive
622,"Ive come to believe that each of us has a personal calling thats as unique as a fingerprint  and that the best way to succeed is to discover what you love and then find a way to offer it to others in form of service, working hard and also allowing the energy of the universe to lead you.",Non-Offensive
623,"Think like a queen, a queen is not afraid to fail. Failure is another stepping stone to greatness.",Non-Offensive
624,maybe6789: Now u got what u want bitch ! Enjoy it now this is a crazy party I would love to attend.,Offensive
625,"A positive attitude causes a chain reaction of positive thoughts, events and outcomes. It is a catalyst and it sparks extraordinary results.",Non-Offensive
626,My heart is filled with joy at the sound of your good news. Best of luck to you dear friend.,Non-Offensive
627,"VeronikaHumbert: Ultraviolence video, its coming you little bitch! MTVHottest Lana Del Rey bitchy promo",Offensive
628,The best way to predict the future is to created it.,Non-Offensive
629,"A little smile, a word of cheer, a bit of love from someone near, a little gift from one held dear, best wishes for the coming year. These make a merry Christmas.",Non-Offensive
630,If you talk back to me you ain't getting no pussy Me: ,Offensive
631,"There are no limits to what you can accomplish, except the limits you place on your own thinking.",Non-Offensive
632,Selling my soul for material wishes: fast cars and bitches Tupac smile remix,Offensive
633,She's from Florida so you've got to do the sniff test in those sw pussies,Offensive
634,iCrawley: I could never have a bby by a lil dick Thts y I got a abortion by the last bitch- oh My God,Offensive
635,"Hope your burdens are feeling lighter, and each day is a little bit brighter.",Non-Offensive
636,Be prepared for any kind of tasks every time. Always believe in yourself. If you follow these two things then you will surely get success in every field of life. I hope that you win each task and you have a very happy life. Have a best of luck in all your life.,Non-Offensive
637,"And heres wishing you the very best for all the new ventures, that life has in store for you.",Non-Offensive
638,YunGMiGo: Shane_A1 cinco shit harder fucc niggayee but you fucc wit rich homie cuz dats ya homeboy fucc nicca,Offensive
639,"To be successful in sales today, its imperative to drop your sales mentality and start working with your prospects as if they already hired you.",Non-Offensive
640,Like... correct me if I'm wrong but... Doesn't pimpin involve 'smackin bitches for money'?,Offensive
641,"Keep your best wishes, close to your heart and watch what happens.",Non-Offensive
642,The way in which you approach a challenge is exemplary. May you make it happen. Good Luck.,Non-Offensive
643, Murda Gang bitch its Gang Land ,Offensive
644,alexissixela__: white_thunduh: I legit watched it for about 30 or 40 seconds SO DID I WTF prob cause were retarded smh,Offensive
645,Strap__: I ain't sharing no bitch if you mines you mines,Offensive
646,You are so much more than what you are going through,Non-Offensive
647,Two things define you. Your patience when you have nothing and your attitude when you have everything.,Non-Offensive
648,"Everyday might not be good, but there is good in everyday.",Non-Offensive
649,You have worked incredibly hard. Good luck. We are proud of you.,Non-Offensive
650,ozzie_garza: white_thunduh I'm about to cool faggot chill tf is cool nigga,Offensive
651,"How you doing, crazy bitch? is hilarious!",Offensive
652,Your attitude is an expression of your values beliefs and expectations.,Non-Offensive
653,Be thankful for everything that happens in your life. Its all an experience.,Non-Offensive
654,Fresh nigga so you kno I need a clean bitch... Who kno I'm working cuz I wanna see my team rich.,Offensive
655,"The positive thinker sees the invisible, feels the intangible, and achieves the impossible",Non-Offensive
656,Optimist. Someone who isnt sure whether life is a tragedy or a comedy but is tickled silly just to be in the play.,Non-Offensive
657,New Flame the song of the yr lol that bitch SUPER run like,Offensive
658,!!!!selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!,Offensive
659,"Even if you are on the right track, youll get run over if you just sit there.",Non-Offensive
660,"May you get all your wishes but one, so you always have something to strive for.",Non-Offensive
661,"Life goes on. Whether you choose to move on and take a change in the unknown. Or stay behind, locked in the past thinking of couldve been.",Non-Offensive
662,sniffsockslad: Need these sox fuck yeah. I love a kinky scally lad w rank sox and sneaks,Offensive
663,"Life isnt about finding yourself, it is about creating yourself.",Non-Offensive
664,midyWIDEY_: I'm rea start smacking bitches period ! Bluffin at its best,Offensive
665,"When the well is dry, we know the worth of water.",Non-Offensive
666,"We are all broken, thats how light gets in.",Non-Offensive
667,Start wherever you are and start small. All the best.,Non-Offensive
668,michelle_westt: Facts POONsoaker: Only the dudes with hoes say they don't got hoes J_Austin12,Offensive
669,"If you want to be successful in this world, you have to follow your passion, not a paycheck.",Non-Offensive
670,thejudyann: annoying bitch that I love JUDYANN'S SO PRETTY!!!!!,Offensive
671,Get me that shit bitch you is fine bear,Offensive
672,thotmouths: Lmao bitch got on some huggies,Offensive
673,How dare you settle for less when the world has made it so easy for you to be remarkable.,Non-Offensive
674,jasmyncyniquee: white_thunduh k bye hoe um bye ..,Offensive
675,Searching the incredible story of 1 white man's quest to find the ingredients necessary to make Caribbean Jerked Chicken in redneck land,Offensive
676,"Above all, Wawtch with glittering eyes the whole world around you. because the greatest secrets are always hidden in the most unlikely places. Those who dont believe in the magic will never find find it.",Non-Offensive
677,Be the reason someone smiles. Be the reason someone feels loved and believes in the goodness in people.,Non-Offensive
678,"Whatever your situation might be, set your mind to whatever you want to do and put a good attitude in it and believe that you can succeed.",Non-Offensive
679,Do not wait until the conditions are perfect to begin. Beginning makes the conditions perfect.,Non-Offensive
680,irlfatty: my pussy sweet like watermelon Thotermelon,Offensive
681, hoe what its hitting for ,Offensive
682,"As I get, I give. Giving as you get is critical. It has everything to do with being happy for yourself and making others happy is the cause of making yourself happy, and its the cycle of giving and getting.",Non-Offensive
683,"I don't love these hoes, baby It's me and you forever",Offensive
684,TheRealRickyB21: JetsAndASwisher faggot bitch,Offensive
685,It takes but one positive thought when given a chance to survive and thrive to overpower an entire army of negative thoughts.,Non-Offensive
686,My twitter was hacked = I'm too pussy to admit that I said it and now I want to act like I never said it.,Offensive
687,I call him my bitch MaKennaM_,Offensive
688,Wealth isnt about having a lot of money it is about having a lot of options.If you are working on something exciting that you really care about you dont have to be pushed. The vision pulls you.,Non-Offensive
689,"I wish I had it in my power to furnish you with accommodation I should feel proud to do it, shall be happy to hear from you at anytime when you engagements will allow you an hour and remain with best wishes for yourself, family and circuit.",Non-Offensive
690,"allisonnamaya_: What should I name my cat, ideas? Mr pussy",Offensive
691, im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that ,Offensive
692,jboii2: ima keep on giving these pussy ass niggas ah reason to hate !,Offensive
693,"Well bitch, biology said",Offensive
694,And in today already walks tomorrow.,Non-Offensive
695,queendulaaa: Got a couple bitches saying they know me But ma let the money talk for me AND I'M LIKE... WWYD,Offensive
696,We aim above the mark to hit the mark,Non-Offensive
697,__Sugga: There's a lane some bitches need to stay in  the left n get right the fuck outta our face,Offensive
698,You may have to fight a battle more than once to win it.,Non-Offensive
699,Go confidently in the direction of your dreams. Live the life you have imagined.,Non-Offensive
